normal_proportion,n_normal,n_positive,ranking_inversion_rate,mean_reported_dice_a,mean_reported_dice_b,ci_95_a_low,ci_95_a_high,ci_95_b_low,ci_95_b_high,model_a_true_dice,model_b_true_dice,model_a_fp_rate,model_b_fp_rate
0.0,0,780,0.0,0.7480951536626561,0.5888055905073604,0.7445395016646956,0.7516551320357603,0.5857811156914733,0.592512969876689,0.7482,0.5887,0.1,0.2
0.05,39,741,0.0,0.7557312789418009,0.5991003673332529,0.7503157948359815,0.7610765676120406,0.5921879284108899,0.6053722387846711,0.7482,0.5887,0.1,0.2
0.1,78,702,0.0,0.7636944762234258,0.6095766100002252,0.756711717476686,0.7709983347006831,0.5993117890471278,0.619768307524419,0.7482,0.5887,0.1,0.2
0.15,117,663,0.0,0.7702109725368608,0.6211162562219402,0.7587713052338143,0.7782854458240733,0.6104001637698616,0.6313472536706091,0.7482,0.5887,0.1,0.2
0.17,132,648,0.0,0.7733135147937931,0.6243541905700557,0.7631475309363998,0.7817328599188271,0.6111998958694612,0.6356201169179624,0.7482,0.5887,0.1,0.2
0.2,156,624,0.0,0.7786981230909426,0.6304524533010165,0.7674129542682211,0.7879975695396475,0.6184046915153453,0.6434071439194718,0.7482,0.5887,0.1,0.2
0.25,195,585,0.0,0.7858360353745251,0.6414893883228895,0.773723002696444,0.7958229153604469,0.6279958777366288,0.6553926180221076,0.7482,0.5887,0.1,0.2
0.3,234,546,0.0,0.7938993966692014,0.6520279946794187,0.782073568466169,0.8051533784769386,0.6363308905759044,0.6659561487922501,0.7482,0.5887,0.1,0.2
0.35,273,507,0.0,0.8015249915887495,0.6620497094834685,0.7914557048440332,0.8126806684960972,0.6435606701492843,0.6752210519845091,0.7482,0.5887,0.1,0.2
0.4,312,468,0.0,0.8087064466561494,0.6736563064864082,0.7968348676796292,0.8195988666919043,0.6555222731344251,0.6903085807934924,0.7482,0.5887,0.1,0.2
0.5,390,390,0.0,0.8246515588295675,0.6934896752245231,0.8092800221743075,0.8371453630911566,0.673369543315819,0.7156041208041864,0.7482,0.5887,0.1,0.2
0.0,0,780,0.0,0.7480951536626561,0.5888055905073604,0.7445395016646956,0.7516551320357603,0.5857811156914733,0.592512969876689,0.7482,0.5887,0.2,0.2
0.05,39,741,0.0,0.7508915353520575,0.5991003673332529,0.7436150106555119,0.7573422985406226,0.5921879284108899,0.6053722387846711,0.7482,0.5887,0.2,0.2
0.1,78,702,0.0,0.7538867839157334,0.6095766100002252,0.7438547963938195,0.762465621306809,0.5993117890471278,0.619768307524419,0.7482,0.5887,0.2,0.2
0.15,117,663,0.0,0.75569174176763,0.6211162562219402,0.7441768066107441,0.767566404972071,0.6104001637698616,0.6313472536706091,0.7482,0.5887,0.2,0.2
0.17,132,648,0.0,0.7567878737681519,0.6243541905700557,0.7446566886727293,0.7694801063200646,0.6111998958694612,0.6356201169179624,0.7482,0.5887,0.2,0.2
0.2,156,624,0.0,0.7587942769370963,0.6304524533010165,0.7461031636382129,0.7700870903216274,0.6184046915153453,0.6434071439194718,0.7482,0.5887,0.2,0.2
0.25,195,585,0.0,0.7607142405027303,0.6414893883228895,0.7467166077966818,0.7747266650598189,0.6279958777366288,0.6553926180221076,0.7482,0.5887,0.2,0.2
0.3,234,546,0.0,0.7637391402589451,0.6520279946794187,0.7488129468463625,0.7793527226433278,0.6363308905759044,0.6659561487922501,0.7482,0.5887,0.2,0.2
0.35,273,507,0.0,0.76678781210157,0.6620497094834685,0.7524570846567797,0.7813904915594817,0.6435606701492843,0.6752210519845091,0.7482,0.5887,0.2,0.2
0.4,312,468,0.0,0.7685141389638419,0.6736563064864082,0.7504555837030242,0.7831751467123221,0.6555222731344251,0.6903085807934924,0.7482,0.5887,0.2,0.2
0.5,390,390,0.0,0.7750041229321316,0.6934896752245231,0.7553682196355269,0.7916435844487086,0.673369543315819,0.7156041208041864,0.7482,0.5887,0.2,0.2
0.0,0,780,0.0,0.7480951536626561,0.5888055905073604,0.7445395016646956,0.7516551320357603,0.5857811156914733,0.592512969876689,0.7482,0.5887,0.3,0.2
0.05,39,741,0.0,0.7459299968905191,0.5991003673332529,0.7381230051839814,0.7527587740387423,0.5921879284108899,0.6053722387846711,0.7482,0.5887,0.3,0.2
0.1,78,702,0.0,0.7434252454541951,0.6095766100002252,0.731473332724423,0.7545885090900893,0.5993117890471278,0.619768307524419,0.7482,0.5887,0.3,0.2
0.15,117,663,0.0,0.7403455879214762,0.6211162562219402,0.724198852197897,0.7527501758239483,0.6104001637698616,0.6313472536706091,0.7482,0.5887,0.3,0.2
0.17,132,648,0.0,0.7395955660758443,0.6243541905700557,0.7272347486246246,0.7543154097642447,0.6111998958694612,0.6356201169179624,0.7482,0.5887,0.3,0.2
0.2,156,624,0.0,0.738909661552481,0.6304524533010165,0.7259417334556253,0.7554337824134375,0.6184046915153453,0.6434071439194718,0.7482,0.5887,0.3,0.2
0.25,195,585,0.0,0.7356052661437559,0.6414893883228895,0.7166733514204141,0.7482793306038594,0.6279958777366288,0.6553926180221076,0.7482,0.5887,0.3,0.2
