dice,iou,precision,recall,specificity,tp,fp,fn,tn,label,model
0.9789904356002808,0.9588455557823181,0.963135302066803,0.9953763484954834,0.9965740442276001,5382.0,206.0,25.0,59923.0,benign,unetpp
0.9351111054420471,0.8781301975250244,0.9581056237220764,0.9131944179534912,0.9996459484100342,526.0,23.0,50.0,64937.0,benign,unetpp
0.9115307927131653,0.837442934513092,0.9376277923583984,0.886847198009491,0.9990543127059937,917.0,61.0,117.0,64441.0,benign,unetpp
0.9642207622528076,0.9309133291244507,0.9601449370384216,0.9683312773704529,0.9994900822639465,795.0,33.0,26.0,64682.0,benign,unetpp
0.9707096815109253,0.9430863261222839,0.9599533677101135,0.9817097187042236,0.9983656406402588,2469.0,103.0,46.0,62918.0,benign,unetpp
3.019323679964714e-10,3.019323679964714e-10,1.0,3.019323679964714e-10,1.0,0.0,0.0,3312.0,62224.0,benign,unetpp
1.3140604160355451e-09,1.3140604160355451e-09,1.0,1.3140604160355451e-09,1.0,0.0,0.0,761.0,64775.0,benign,unetpp
0.9011943340301514,0.8201581239700317,0.9606481194496155,0.8486707806587219,0.9997386336326599,415.0,17.0,74.0,65030.0,benign,unetpp
0.9447138905525208,0.8952205777168274,0.9769307971000671,0.9145539999008179,0.9996432662010193,974.0,23.0,91.0,64448.0,benign,unetpp
0.9772521257400513,0.9555162191390991,0.9827017188072205,0.9718626737594604,0.9973168969154358,8635.0,152.0,250.0,56499.0,benign,unetpp
0.9737088084220886,0.9487646222114563,0.9666136503219604,0.9809088706970215,0.997961699962616,3648.0,126.0,71.0,61691.0,benign,unetpp
0.4642994701862335,0.30233725905418396,0.8961640000343323,0.31331291794776917,0.9869809746742249,5420.0,628.0,11879.0,47609.0,benign,unetpp
0.9618434309959412,0.9264916181564331,0.9773414134979248,0.9468292593955994,0.999291181564331,1941.0,45.0,109.0,63441.0,benign,unetpp
0.6125432848930359,0.4414864182472229,0.4444444477558136,0.9851484894752502,0.9846279621124268,796.0,995.0,12.0,63733.0,benign,unetpp
0.9384886026382446,0.8841059803962708,0.9780219793319702,0.9020270109176636,0.9999080300331116,267.0,6.0,29.0,65234.0,benign,unetpp
0.9100391268730164,0.8349282145500183,0.838942289352417,0.994301974773407,0.9989721775054932,349.0,67.0,2.0,65118.0,benign,unetpp
0.8326640129089355,0.713302731513977,0.713302731513977,1.0,0.9980835318565369,311.0,125.0,0.0,65100.0,benign,unetpp
0.9723332524299622,0.9461562633514404,0.9626345634460449,0.9822294116020203,0.9981102347373962,3040.0,118.0,55.0,62323.0,benign,unetpp
0.8195402026176453,0.6942551136016846,1.0,0.6942551136016846,1.0,713.0,0.0,314.0,64509.0,benign,unetpp
0.9116642475128174,0.8376681804656982,0.9349349141120911,0.8895238041877747,0.9989920258522034,934.0,65.0,116.0,64421.0,benign,unetpp
0.7667269706726074,0.6217008829116821,0.9643669724464417,0.6363181471824646,0.9992602467536926,1272.0,47.0,727.0,63490.0,benign,unetpp
0.9684906005859375,0.9389062523841858,0.9712299704551697,0.9657666087150574,0.9969990253448486,6009.0,178.0,213.0,59136.0,benign,unetpp
0.09657759219408035,0.05073891580104828,1.0,0.05073891580104828,1.0,618.0,0.0,11562.0,53356.0,benign,unetpp
0.9452162981033325,0.8961233496665955,0.9041599035263062,0.9901787042617798,0.984461784362793,8368.0,887.0,83.0,56198.0,benign,unetpp
0.9703022241592407,0.9423174858093262,0.9649764895439148,0.9756870865821838,0.998947262763977,1846.0,67.0,46.0,63577.0,benign,unetpp
