epoch,train_loss,P1_standard_mean_dice,P1_standard_std,P2_audit_mean_dice,P2_audit_std,P3_sef_seg_dice,P3_sef_seg_dice_std,P3_sef_specificity,P3_sef_sensitivity,P3_sef_composite,n_positive,n_negative
5,0.4820683760302407,0.5816657854328054,0.3144937681925504,0.6759538047481328,0.21455046097897998,0.6759538047481328,0.21455046097897998,0.10526315789473684,1.0,0.4876258912865121,96,19
10,0.37348383154187886,0.6586009950278737,0.3292224346159022,0.716032441764634,0.2526314119032066,0.716032441764634,0.2526314119032066,0.3684210526315789,0.96875,0.6013206833507257,96,19
15,0.3200446818556104,0.7316980836467136,0.3216111499863244,0.7202633290007286,0.3003645310283499,0.7202633290007286,0.3003645310283499,0.7894736842105263,0.90625,0.7431027462199619,96,19
20,0.2484927271093641,0.738593175984321,0.31841440447204683,0.7285230628819362,0.2965561629089795,0.7285230628819362,0.2965561629089795,0.7894736842105263,0.9375,0.7486367679203709,96,19
25,0.21577493080071042,0.6945743697973541,0.3347657000726723,0.7174588802591045,0.2878069347545119,0.7174588802591045,0.2878069347545119,0.5789473684210527,0.9166666666666666,0.6717500813525474,96,19
30,0.21455112993717193,0.7477340756659135,0.32547512011492546,0.7186397780416286,0.3211485598991379,0.7186397780416286,0.3211485598991379,0.8947368421052632,0.875,0.776751809182628,96,19
35,0.15821634169135776,0.7734751644655294,0.3064528109342297,0.7598921240832895,0.2916639226893146,0.7598921240832895,0.2916639226893146,0.8421052631578947,0.9166666666666666,0.7870224599779092,96,19
40,0.16129160331828254,0.7710191064107276,0.3134800654769394,0.7465333036807603,0.30894941505913515,0.7465333036807603,0.30894941505913515,0.8947368421052632,0.90625,0.7954404713608463,96,19
45,0.14414830441985813,0.7624861016482499,0.3121438127748016,0.7467281425570572,0.29815899559516,0.7467281425570572,0.29815899559516,0.8421052631578947,0.9270833333333334,0.7782025923553335,96,19
50,0.13999774072851454,0.7734098836129311,0.3053488722425765,0.7598139230401281,0.2902699702211027,0.7598139230401281,0.2902699702211027,0.8421052631578947,0.9166666666666666,0.786970065278991,96,19
55,0.11831089790378298,0.782908971210338,0.2989948122834802,0.760776371567713,0.2923798688241233,0.760776371567713,0.2923798688241233,0.8947368421052632,0.9270833333333334,0.8049833268451045,96,19
60,0.11177368696246828,0.7763165440998849,0.2954831353535713,0.7632958600559986,0.2779361469877851,0.7632958600559986,0.2779361469877851,0.8421052631578947,0.9375,0.7893029630796242,96,19
65,0.11432547633137022,0.7739615747969731,0.3100844096264919,0.7396414698024598,0.3133446347332717,0.7396414698024598,0.3133446347332717,0.9473684210526315,0.9270833333333334,0.8081913637150164,96,19
70,0.11057363471814564,0.7620834746065281,0.3106066665618638,0.7670791618924181,0.2775654185896892,0.7670791618924181,0.2775654185896892,0.7368421052631579,0.9479166666666666,0.7571009332047622,96,19
75,0.10029055923223495,0.7833541030874284,0.3013820746978706,0.7613096025581787,0.2953412717547901,0.7613096025581787,0.2953412717547901,0.8947368421052632,0.9270833333333334,0.8053405916087164,96,19
80,0.10250961418662752,0.7984900770898478,0.2805261176207917,0.7794412381728374,0.2709858616896743,0.7794412381728374,0.2709858616896743,0.8947368421052632,0.9479166666666666,0.8174887874705379,96,19
85,0.09742193360413824,0.7920718208237919,0.2903040871494831,0.771752702019444,0.28251884793557935,0.771752702019444,0.28251884793557935,0.8947368421052632,0.9479166666666666,0.8123374682477642,96,19
90,0.08791361876896449,0.7903787652093466,0.2850594719586037,0.7801412291451143,0.26531348476196764,0.7801412291451143,0.26531348476196764,0.8421052631578947,0.9479166666666666,0.8005893603693317,96,19
95,0.10110801415784018,0.7981834593289865,0.2780220363505716,0.7790739356477072,0.2678504348706085,0.7790739356477072,0.2678504348706085,0.8947368421052632,0.9479166666666666,0.8172426947787006,96,19
100,0.10455902793577738,0.8003604006772019,0.28353024318211356,0.7712650633054636,0.2851448631766404,0.7712650633054636,0.2851448631766404,0.9473684210526315,0.9375,0.8293791713620291,96,19
