dice,iou,precision,recall,specificity,tp,fp,fn,tn,label,model
0.9793655276298523,0.9595654010772705,0.9629960656166077,0.9963011145591736,0.9965574145317078,5387.0,207.0,20.0,59922.0,benign,unet
0.9382071495056152,0.8836065530776978,0.9406631588935852,0.9357638955116272,0.9994766116142273,539.0,34.0,37.0,64926.0,benign,unet
0.9033217430114746,0.8236889839172363,0.9267548322677612,0.8810445070266724,0.9988837838172913,911.0,72.0,123.0,64430.0,benign,unet
0.9264018535614014,0.8628944754600525,0.8900112509727478,0.9658952355384827,0.9984856843948364,793.0,98.0,28.0,64617.0,benign,unet
0.952598512172699,0.9094874858856201,0.9138057231903076,0.9948310256004333,0.9962552189826965,2502.0,236.0,13.0,62785.0,benign,unet
3.019323679964714e-10,3.019323679964714e-10,1.0,3.019323679964714e-10,1.0,0.0,0.0,3312.0,62224.0,benign,unet
0.473702073097229,0.3103601634502411,0.3193046748638153,0.9172142148017883,0.9770281910896301,698.0,1488.0,63.0,63287.0,benign,unet
0.9090909361839294,0.8333333134651184,0.9927361011505127,0.838445782661438,0.9999538660049438,410.0,3.0,79.0,65044.0,benign,unet
0.8855515122413635,0.7946096658706665,0.9872978925704956,0.8028169274330139,0.9998293519020081,855.0,11.0,210.0,64460.0,benign,unet
0.9730310440063477,0.9474785327911377,0.9776186943054199,0.9684861898422241,0.9965225458145142,8605.0,197.0,280.0,56454.0,benign,unet
0.9732237458229065,0.9478440284729004,0.959738552570343,0.9870933294296265,0.9975087642669678,3671.0,154.0,48.0,61663.0,benign,unet
0.4387568533420563,0.28103044629096985,0.8881057500839233,0.29134631156921387,0.9868358373641968,5040.0,635.0,12259.0,47602.0,benign,unet
0.9613966345787048,0.9256628751754761,0.9692612886428833,0.9536585211753845,0.9990233778953552,1955.0,62.0,95.0,63424.0,benign,unet
0.5834543108940125,0.41188523173332214,0.41273099184036255,0.9950494766235352,0.9823260307312012,804.0,1144.0,4.0,63584.0,benign,unet
0.9431437849998474,0.892405092716217,0.9337748289108276,0.9527027010917664,0.9996934533119202,282.0,20.0,14.0,65220.0,benign,unet
0.9048240184783936,0.8261904716491699,0.8341346383094788,0.9886040091514587,0.9989414811134338,347.0,69.0,4.0,65116.0,benign,unet
0.8238410353660583,0.7004504799842834,0.7004504799842834,1.0,0.9979609251022339,311.0,133.0,0.0,65092.0,benign,unet
0.9735313057899475,0.948427677154541,0.9725894927978516,0.9744749665260315,0.9986386895179749,3016.0,85.0,79.0,62356.0,benign,unet
0.896124005317688,0.8117977380752563,0.9548457860946655,0.8442064523696899,0.99936443567276,867.0,41.0,160.0,64468.0,benign,unet
0.9004287719726562,0.8188908100128174,0.9008579850196838,0.8999999761581421,0.9983872175216675,945.0,104.0,105.0,64382.0,benign,unet
0.8803648352622986,0.7862961292266846,0.9491035342216492,0.8209104537963867,0.9986149668693542,1641.0,88.0,358.0,63449.0,benign,unet
0.9704350829124451,0.9425680637359619,0.967566728591919,0.973320484161377,0.9965775609016418,6056.0,203.0,166.0,59111.0,benign,unet
0.10132502019405365,0.053366173058748245,1.0,0.053366173058748245,1.0,650.0,0.0,11530.0,53356.0,benign,unet
0.9631636738777161,0.9289447069168091,0.9390737414360046,0.9885220527648926,0.9905053973197937,8354.0,542.0,97.0,56543.0,benign,unet
0.9648345708847046,0.9320583939552307,0.9512069821357727,0.9788583517074585,0.9985073208808899,1852.0,95.0,40.0,63549.0,benign,unet
0.9148569703102112,0.8430749773979187,0.9764532446861267,0.8605706691741943,0.9994999766349792,1327.0,32.0,215.0,63962.0,benign,unet
0.9310043454170227,0.8709150552749634,0.9383803009986877,0.923743486404419,0.9994611740112305,533.0,35.0,44.0,64924.0,benign,unet
0.9553132057189941,0.9144494533538818,0.9422184824943542,0.9687771201133728,0.9978333115577698,2234.0,137.0,72.0,63093.0,benign,unet
0.8716421723365784,0.7724873423576355,0.9074000716209412,0.8385956287384033,0.9877557158470154,6879.0,702.0,1324.0,56631.0,benign,unet
0.9015922546386719,0.8208174705505371,0.9075144529342651,0.8957468867301941,0.9972330331802368,1727.0,176.0,201.0,63432.0,benign,unet
0.39385825395584106,0.2452201098203659,0.3152002692222595,0.5248289108276367,0.8665394186973572,3604.0,7830.0,3263.0,50839.0,benign,unet
0.847517728805542,0.7353846430778503,0.7785016298294067,0.929961085319519,0.9979084134101868,478.0,136.0,36.0,64886.0,benign,unet
0.9097651243209839,0.8344671130180359,0.9658792614936829,0.8598130941390991,0.9995980262756348,736.0,26.0,120.0,64654.0,benign,unet
0.4610644280910492,0.2995995581150055,0.4110889136791229,0.5248724222183228,0.9815689325332642,823.0,1179.0,745.0,62789.0,benign,unet
0.9025641083717346,0.822429895401001,0.960174560546875,0.8514755964279175,0.9988498091697693,1760.0,73.0,307.0,63396.0,benign,unet
0.9526462554931641,0.9095744490623474,0.977142870426178,0.929347813129425,0.9995005130767822,1368.0,32.0,104.0,64032.0,benign,unet
0.9481653571128845,0.9014395475387573,0.9786675572395325,0.9195069670677185,0.9966729283332825,8579.0,187.0,751.0,56019.0,benign,unet
0.9575270414352417,0.9185149669647217,0.9384236335754395,0.9774243235588074,0.9980341792106628,1905.0,125.0,44.0,63462.0,benign,unet
0.9610869288444519,0.9250888824462891,0.9717258214950562,0.9506784677505493,0.9963367581367493,7286.0,212.0,378.0,57660.0,benign,unet
0.9501479864120483,0.905030369758606,0.9372403621673584,0.9634160399436951,0.9901707172393799,8348.0,559.0,317.0,56312.0,benign,unet
0.9309773445129395,0.8708677887916565,0.9440089464187622,0.9183006286621094,0.9992262125015259,843.0,50.0,75.0,64568.0,benign,unet
0.9282492399215698,0.8661054968833923,0.9405824542045593,0.9162352681159973,0.989996075630188,8849.0,559.0,809.0,55319.0,benign,unet
0.6213436126708984,0.45068779587745667,0.46906089782714844,0.920038104057312,0.965507984161377,1933.0,2188.0,168.0,61247.0,benign,unet
0.9586683511734009,0.9206176996231079,0.937120795249939,0.9812301397323608,0.9963269233703613,3398.0,228.0,65.0,61845.0,benign,unet
3.1094526953268087e-10,3.1094526953268087e-10,1.0,3.1094526953268087e-10,1.0,0.0,0.0,3216.0,62320.0,benign,unet
0.8643215894699097,0.76106196641922,0.7741407752037048,0.9782833456993103,0.9957255125045776,946.0,276.0,21.0,64293.0,benign,unet
0.9552852511405945,0.9143981337547302,0.9327476024627686,0.9789389967918396,0.9890753030776978,8599.0,620.0,185.0,56132.0,benign,unet
0.8449516892433167,0.7315293550491333,0.7544685006141663,0.9600957632064819,0.9875773191452026,2406.0,783.0,100.0,62247.0,benign,unet
0.9176620244979858,0.8478516936302185,0.8605137467384338,0.9829409718513489,0.9925405383110046,2881.0,467.0,50.0,62138.0,benign,unet
0.5389233827590942,0.3688535988330841,0.36895638704299927,0.999245285987854,0.9279807806015015,2648.0,4529.0,2.0,58357.0,benign,unet
0.9352014064788818,0.8782894611358643,0.8961500525474548,0.9778112769126892,0.9913620352745056,4539.0,526.0,103.0,60368.0,benign,unet
1.0068465505774782e-10,1.0068465505774782e-10,6.609385261313605e-10,1.1877895889078616e-10,0.9735105037689209,0.0,1513.0,8419.0,55604.0,benign,unet
0.8529854416847229,0.7436570525169373,0.9929906725883484,0.7475813627243042,0.9999068379402161,850.0,6.0,287.0,64393.0,benign,unet
0.9496776461601257,0.9041773676872253,0.9127057790756226,0.9897713661193848,0.9922047853469849,4935.0,472.0,51.0,60078.0,benign,unet
0.9381732940673828,0.8835465312004089,0.8922048807144165,0.9891358017921448,0.9961896538734436,2003.0,242.0,22.0,63269.0,benign,unet
0.9700841903686523,0.9419062733650208,0.9505167007446289,0.9904742240905762,0.9958983063697815,4783.0,249.0,46.0,60458.0,benign,unet
0.9471791982650757,0.8996585607528687,0.9751671552658081,0.920753002166748,0.9963293075561523,8168.0,208.0,703.0,56457.0,benign,unet
0.6935399174690247,0.5308542847633362,0.9925082325935364,0.532990038394928,0.999578595161438,3312.0,25.0,2902.0,59297.0,benign,unet
0.953172504901886,0.9105344414710999,0.977546751499176,0.9299841523170471,0.9991429448127747,2351.0,54.0,177.0,62954.0,benign,unet
0.9315293431282043,0.8718342185020447,0.9124497771263123,0.9514237642288208,0.9983059167861938,1136.0,109.0,58.0,64233.0,benign,unet
0.9319881796836853,0.8726384043693542,0.9926106929779053,0.8783443570137024,0.9977694153785706,14642.0,109.0,2028.0,48757.0,benign,unet
