epoch,train_loss,P1_standard_mean_dice,P1_standard_std,P2_audit_mean_dice,P2_audit_std,P3_sef_seg_dice,P3_sef_seg_dice_std,P3_sef_specificity,P3_sef_sensitivity,P3_sef_composite,n_positive,n_negative
5,0.5064910369259971,0.5563138137918977,0.34831924329664604,0.6455842509281073,0.2801138046659376,0.6455842509281073,0.2801138046659376,0.10526315789473684,1.0,0.46727829022709505,96,19
10,0.3832033540521349,0.729674708941253,0.29365062353093274,0.6970061616785724,0.27963771980218477,0.6970061616785724,0.27963771980218477,0.8947368421052632,0.9166666666666666,0.7622572862193804,96,19
15,0.27938062293188914,0.7086221664591749,0.3124459359793855,0.6822036368849357,0.29394458674134155,0.6822036368849357,0.29394458674134155,0.8421052631578947,0.9375,0.7349711735550122,96,19
20,0.21186061671801976,0.6841439974535569,0.32789900251705834,0.7362141626299401,0.253261101974282,0.7362141626299401,0.253261101974282,0.42105263157894735,0.9895833333333334,0.6322108573831124,96,19
25,0.19527935726302012,0.731721941927959,0.3192725940498401,0.7307085757598032,0.2893548251971794,0.7307085757598032,0.2893548251971794,0.7368421052631579,0.9270833333333334,0.7327326404959101,96,19
30,0.18028825925929207,0.7363871931509395,0.32609474897134466,0.7258804917402055,0.30630199782627254,0.7258804917402055,0.30630199782627254,0.7894736842105263,0.9270833333333334,0.7468662452554113,96,19
35,0.14556062115090235,0.7451902423600023,0.3262405586245386,0.7260091408297792,0.3145713148552691,0.7260091408297792,0.3145713148552691,0.8421052631578947,0.9270833333333334,0.7643208611980572,96,19
40,0.15557059305054802,0.7690608619141142,0.30902118374960835,0.7337708241611053,0.31142844456320995,0.7337708241611053,0.31142844456320995,0.9473684210526315,0.9375,0.8042580311353089,96,19
45,0.13967243028538567,0.7869434993340768,0.2923303719185921,0.7447760669106128,0.30266860119717814,0.7447760669106128,0.30266860119717814,1.0,0.9166666666666666,0.8289999648301105,96,19
50,0.10948460783277239,0.7816430745257313,0.2918449919824277,0.7488432663493573,0.2926614877216777,0.7488432663493573,0.2926614877216777,0.9473684210526315,0.9166666666666666,0.8143565674014377,96,19
55,0.1272591314145497,0.7746146071475762,0.29165535597157155,0.7300070814788674,0.2997573780461367,0.7300070814788674,0.2997573780461367,1.0,0.9166666666666666,0.819104744590841,96,19
60,0.11991449381623949,0.7602085893827727,0.3088619626646776,0.7439998674209157,0.2938880215494431,0.7439998674209157,0.2938880215494431,0.8421052631578947,0.9166666666666666,0.7763746480141187,96,19
65,0.11340448643480028,0.7652164116135529,0.3021234923390682,0.7499988255608377,0.2857039307439256,0.7499988255608377,0.2857039307439256,0.8421052631578947,0.9375,0.7803939499678665,96,19
70,0.10600462832621166,0.77190757846598,0.2984627654946794,0.7580142865862575,0.2814717636256991,0.7580142865862575,0.2814717636256991,0.8421052631578947,0.9479166666666666,0.7857643088548978,96,19
75,0.10028763402785573,0.7795828525492184,0.2874426375112794,0.7567919587653442,0.27783368044051804,0.7567919587653442,0.27783368044051804,0.8947368421052632,0.9479166666666666,0.8023137702675174,96,19
80,0.09240078361971038,0.7787529661288615,0.28987087103410214,0.7557978239866611,0.2807585762911663,0.7557978239866611,0.2807585762911663,0.8947368421052632,0.9583333333333334,0.8016476999657998,96,19
85,0.09073446637817792,0.780018513519235,0.2870385587742997,0.7573138443002069,0.2773755907053461,0.7573138443002069,0.2773755907053461,0.8947368421052632,0.9583333333333334,0.8026634335758753,96,19
90,0.0895216102046626,0.778989416271803,0.2904869191540327,0.7560810715450127,0.28154335018829735,0.7560810715450127,0.28154335018829735,0.8947368421052632,0.9583333333333334,0.8018374758298954,96,19
95,0.09662643734897886,0.7808972870381423,0.28466993721290046,0.7583665417415734,0.2745226136651929,0.7583665417415734,0.2745226136651929,0.8947368421052632,0.9583333333333334,0.803368740861591,96,19
100,0.08793487335954393,0.7827084141728654,0.2864585701106264,0.7605361210866134,0.27691762517917157,0.7605361210866134,0.27691762517917157,0.8947368421052632,0.9583333333333334,0.8048223590227677,96,19
