epoch,train_loss,P1_standard_mean_dice,P1_standard_std,P2_audit_mean_dice,P2_audit_std,P3_sef_seg_dice,P3_sef_seg_dice_std,P3_sef_specificity,P3_sef_sensitivity,P3_sef_composite,n_positive,n_negative
5,0.6926076327051435,0.0827799779729958,0.07374361667161987,0.09916351524210161,0.06992686634240519,0.09916351524210161,0.06992686634240519,0.0,1.0,0.06643955521220807,96,19
10,0.5230343495096479,0.5124394892357964,0.31341027178662273,0.6138597900263107,0.23539057688618534,0.6138597900263107,0.23539057688618534,0.0,1.0,0.4112860593176282,96,19
15,0.4262641455445971,0.6552149426069168,0.3421182211683753,0.6807262255093706,0.29483674274755894,0.6807262255093706,0.29483674274755894,0.5263157894736842,0.9270833333333334,0.6297707816175939,96,19
20,0.36457173143114363,0.686673415766862,0.32479693758059586,0.6871608596955738,0.28914925492080157,0.6871608596955738,0.28914925492080157,0.6842105263157895,0.9270833333333334,0.686187249680245,96,19
25,0.3351271254675729,0.6431324269086416,0.34447454484065065,0.6975023743701372,0.279648505960223,0.6975023743701372,0.279648505960223,0.3684210526315789,0.9479166666666666,0.5889055381964129,96,19
30,0.27824266936097825,0.7094182328900218,0.33654056940091615,0.714407255598764,0.30456805792665664,0.714407255598764,0.30456805792665664,0.6842105263157895,0.90625,0.7044423349353823,96,19
35,0.24676046456609455,0.7334535299036675,0.3300987130662152,0.7327828638940991,0.30356429583637856,0.7327828638940991,0.30356429583637856,0.7368421052631579,0.9166666666666666,0.7341224135458885,96,19
40,0.24113864515508923,0.7222965299941834,0.320012130179883,0.7194177147202657,0.2902561234034897,0.7194177147202657,0.2902561234034897,0.7368421052631579,0.96875,0.72516776359942,96,19
45,0.20879709976060049,0.729437816347286,0.3169329482277875,0.738389047226165,0.27762999051365933,0.738389047226165,0.27762999051365933,0.6842105263157895,0.9895833333333334,0.720510135325741,96,19
50,0.18610380589962006,0.7617557190499537,0.3095094820745713,0.7354365332347875,0.30318768356955106,0.7354365332347875,0.30318768356955106,0.8947368421052632,0.9166666666666666,0.7880056351620444,96,19
55,0.1739950207727296,0.7397079561155759,0.3350180144505811,0.709025155487106,0.3318315110083827,0.709025155487106,0.3318315110083827,0.8947368421052632,0.90625,0.7703100120710977,96,19
60,0.18330404311418533,0.7647029160619085,0.30974867885165136,0.7389670348569752,0.30378279230641236,0.7389670348569752,0.30378279230641236,0.8947368421052632,0.90625,0.7903710712489103,96,19
65,0.15343050488403864,0.7612767659499177,0.2996980028348744,0.7661127923344105,0.26282466076669725,0.7661127923344105,0.26282466076669725,0.7368421052631579,0.9375,0.7564534656008971,96,19
70,0.16416477731295995,0.7806522827126611,0.2867466239417687,0.7580730469850906,0.27707568910034774,0.7580730469850906,0.27707568910034774,0.8947368421052632,0.9375,0.8031720993747475,96,19
75,0.14860615474837166,0.776488413079716,0.29646418228703997,0.7635017447473876,0.27919441295652414,0.7635017447473876,0.27919441295652414,0.8421052631578947,0.9375,0.7894409058228549,96,19
80,0.13978994552578244,0.7600062283239063,0.30769250569074963,0.7645907942710468,0.273693197198676,0.7645907942710468,0.273693197198676,0.7368421052631579,0.9583333333333334,0.7554337268984435,96,19
85,0.1428771219083241,0.7681322982366585,0.30225401539836444,0.763908481949016,0.27647050586680416,0.763908481949016,0.27647050586680416,0.7894736842105263,0.9583333333333334,0.7723449986953144,96,19
90,0.1419198615210397,0.7723846726245059,0.2975684083363766,0.758585805724337,0.28036335892442854,0.758585805724337,0.28036335892442854,0.8421052631578947,0.9270833333333334,0.786147226677411,96,19
95,0.1320824322955949,0.7765942765848277,0.2948867798108225,0.763628560458813,0.2771919848693384,0.763628560458813,0.2771919848693384,0.8421052631578947,0.9270833333333334,0.78952587234951,96,19
100,0.14286500896726337,0.764882336555713,0.30299298986023115,0.7600152983318843,0.2773739920942926,0.7600152983318843,0.2773739920942926,0.7894736842105263,0.9270833333333334,0.7697365656718361,96,19
