epoch,train_loss,P1_standard_mean_dice,P1_standard_std,P2_audit_mean_dice,P2_audit_std,P3_sef_seg_dice,P3_sef_seg_dice_std,P3_sef_specificity,P3_sef_sensitivity,P3_sef_composite,n_positive,n_negative
5,0.45342369505337304,0.5225427722047526,0.3067880961399535,0.6259626948057032,0.21911099724039906,0.6259626948057032,0.21911099724039906,0.0,1.0,0.4193950055198211,96,19
10,0.31501275982175553,0.6463805080873671,0.3459544072249484,0.6805599824794966,0.2948880983354509,0.6805599824794966,0.2948880983354509,0.47368421052631576,0.9895833333333334,0.6122909777349469,96,19
15,0.25602506271430425,0.7458499902244222,0.31179978599101676,0.7163828007416836,0.30424405485928047,0.7163828007416836,0.30424405485928047,0.8947368421052632,0.8854166666666666,0.7752396343916648,96,19
20,0.19416866153478624,0.7437221663261212,0.3140171093692209,0.7346671783145186,0.29108702187826824,0.7346671783145186,0.29108702187826824,0.7894736842105263,0.9166666666666666,0.7527533252602011,96,19
25,0.1803241397653307,0.7252328180735838,0.3246877926543675,0.7125184799422692,0.3039963724552321,0.7125184799422692,0.3039963724552321,0.7894736842105263,0.9166666666666666,0.737913697350794,96,19
30,0.1558149488908904,0.7318337658721249,0.32711682495465244,0.699592532028714,0.32132775860045376,0.699592532028714,0.32132775860045376,0.8947368421052632,0.875,0.7639901543539751,96,19
35,0.15879196929080144,0.7392133060040453,0.31626776483696656,0.7084326061447928,0.30894505533030336,0.7084326061447928,0.30894505533030336,0.8947368421052632,0.90625,0.7699130040117479,96,19
40,0.13897414697068078,0.7402655039728849,0.3342980516652423,0.7305263849510943,0.31686680155730645,0.7305263849510943,0.31686680155730645,0.7894736842105263,0.90625,0.749978993706707,96,19
45,0.12548103779554368,0.7452885445626656,0.3342741264771736,0.736543568960817,0.31701203547939766,0.736543568960817,0.31701203547939766,0.7894736842105263,0.8958333333333334,0.754010506993221,96,19
50,0.11807782862867627,0.7366416319424979,0.3324736159366909,0.736601954915259,0.30665771618519255,0.736601954915259,0.30665771618519255,0.7368421052631579,0.9166666666666666,0.7366812045300656,96,19
55,0.1133820795587131,0.7534417124330536,0.32385827904660575,0.7358937180017441,0.3121905253533598,0.7358937180017441,0.3121905253533598,0.8421052631578947,0.90625,0.7709435279032737,96,19
60,0.10608545350176947,0.7717571693331531,0.2951349976052929,0.7474174422957006,0.28656250188468546,0.7474174422957006,0.28656250188468546,0.8947368421052632,0.9479166666666666,0.7960328442328561,96,19
65,0.09997972675732204,0.7617537820894276,0.3204742618048085,0.725017551457773,0.3240274416635189,0.725017551457773,0.3240274416635189,0.9473684210526315,0.9166666666666666,0.7983933384240762,96,19
70,0.09733363592198917,0.7624169272420992,0.30874269454271075,0.7466452773952833,0.2938818184541162,0.7466452773952833,0.2938818184541162,0.8421052631578947,0.9270833333333334,0.778147072696945,96,19
75,0.10153562596866063,0.7652770805270869,0.30886005669995276,0.7396548360415705,0.3027553517194516,0.7396548360415705,0.3027553517194516,0.8947368421052632,0.9270833333333334,0.790831898042589,96,19
80,0.09500491587179048,0.7601331188938625,0.3082716597632473,0.7334927986671218,0.3015025265609091,0.7334927986671218,0.3015025265609091,0.8947368421052632,0.9270833333333334,0.7867033330017084,96,19
85,0.10642147607036999,0.763051875846624,0.30472690913422085,0.736989226259228,0.2974643846044691,0.736989226259228,0.2974643846044691,0.8947368421052632,0.9375,0.7890459394884195,96,19
90,0.09566338466746467,0.7764885166693637,0.29393310469661305,0.742668535589393,0.29445652256717997,0.742668535589393,0.29445652256717997,0.9473684210526315,0.9375,0.8102194977922617,96,19
95,0.08632315141814095,0.7688350456266254,0.3020494525640741,0.7335003150692251,0.30309269645099673,0.7335003150692251,0.30309269645099673,0.9473684210526315,0.9270833333333334,0.8040767900437491,96,19
100,0.09154997648937362,0.7726653616344786,0.29645349374135616,0.7380887144537992,0.29694091002826195,0.7380887144537992,0.29694091002826195,0.9473684210526315,0.9375,0.8071510176314138,96,19
