dice,iou,precision,recall,specificity,tp,fp,fn,tn,label,model
0.9717391133308411,0.9450317025184631,0.9522457122802734,0.9920473694801331,0.9955263137817383,5364.0,269.0,43.0,59860.0,benign,manet
0.9287646412849426,0.8670033812522888,0.9662289023399353,0.8940972089767456,0.9997228980064392,515.0,18.0,61.0,64942.0,benign,manet
0.9098837375640869,0.8346666693687439,0.9116504788398743,0.908123791217804,0.9985892176628113,939.0,91.0,95.0,64411.0,benign,manet
0.9250457286834717,0.8605442047119141,0.9256097674369812,0.9244823455810547,0.999057412147522,759.0,61.0,62.0,64654.0,benign,manet
0.9514896869659424,0.9074681401252747,0.9154722690582275,0.9904572367668152,0.9963504076004028,2491.0,230.0,24.0,62791.0,benign,manet
3.019323679964714e-10,3.019323679964714e-10,1.0,3.019323679964714e-10,1.0,0.0,0.0,3312.0,62224.0,benign,manet
1.3140604160355451e-09,1.3140604160355451e-09,1.0,1.3140604160355451e-09,1.0,0.0,0.0,761.0,64775.0,benign,manet
0.903563916683197,0.8240917921066284,0.926881730556488,0.8813905715942383,0.9994773268699646,431.0,34.0,58.0,65013.0,benign,manet
0.92646324634552,0.8630009293556213,0.9914346933364868,0.8694835901260376,0.9998759031295776,926.0,8.0,139.0,64463.0,benign,manet
0.9736093878746033,0.9485758543014526,0.9841324687004089,0.9633089303970337,0.9975640177726746,8559.0,138.0,326.0,56513.0,benign,manet
0.9756423830986023,0.9524431824684143,0.971222996711731,0.9801021814346313,0.9982529282569885,3645.0,108.0,74.0,61709.0,benign,manet
0.45037969946861267,0.2906387448310852,0.8880380988121033,0.30169373750686646,0.9863590002059937,5219.0,658.0,12080.0,47579.0,benign,manet
0.9678511023521423,0.9377049207687378,0.9592716693878174,0.9765853881835938,0.9986611008644104,2002.0,85.0,48.0,63401.0,benign,manet
0.5203883647918701,0.35170602798461914,0.352322518825531,0.9950494766235352,0.9771659970283508,804.0,1478.0,4.0,63250.0,benign,manet
0.949999988079071,0.9047619104385376,0.9375,0.962837815284729,0.9997087717056274,285.0,19.0,11.0,65221.0,benign,manet
0.8888888955116272,0.800000011920929,0.813238799571991,0.9800570011138916,0.998788058757782,344.0,79.0,7.0,65106.0,benign,manet
0.7974358797073364,0.663112998008728,0.663112998008728,1.0,0.9975776076316833,311.0,158.0,0.0,65067.0,benign,manet
0.9696000218391418,0.9409937858581543,0.9603803753852844,0.9789983630180359,0.9979981184005737,3030.0,125.0,65.0,62316.0,benign,manet
0.9112988114356995,0.8370513916015625,0.9953863620758057,0.840311586856842,0.9999380111694336,863.0,4.0,164.0,64505.0,benign,manet
0.892787516117096,0.8063380122184753,0.9141716361045837,0.8723809719085693,0.9986664056777954,916.0,86.0,134.0,64400.0,benign,manet
0.8917961120605469,0.8047220706939697,0.9796407222747803,0.8184092044830322,0.9994648694992065,1636.0,34.0,363.0,63503.0,benign,manet
0.9640241861343384,0.9305469989776611,0.9549038410186768,0.973320484161377,0.99517822265625,6056.0,286.0,166.0,59028.0,benign,manet
0.08716136962175369,0.04556650295853615,1.0,0.04556650295853615,1.0,555.0,0.0,11625.0,53356.0,benign,manet
0.954592227935791,0.9131290912628174,0.9237409830093384,0.9875754117965698,0.9879302978515625,8346.0,689.0,105.0,56396.0,benign,manet
